NAME                                          c_x        c_y       r_cl     z_mean      z_MAP   z_median     z_mode     z_16th     z_84th      z_std  z_R^2     a_mean      a_MAP   a_median     a_mode     a_16th     a_84th      a_std  a_R^2     E_mean      E_MAP   E_median     E_mode     E_16th     E_84th      E_std  E_R^2     d_mean      d_MAP   d_median     d_mode     d_16th     d_84th      d_std  d_R^2     M_mean      M_MAP   M_median     M_mode     M_16th     M_84th      M_std  M_R^2     b_mean      b_MAP   b_median     b_mode     b_16th     b_84th      b_std  b_R^2         Nt
b_fr_06/NGC2516_1000                     0.021921  -0.041758   1.394968   0.0213235  0.0231581  0.0232448  0.0233643  0.0163089  0.0235174 0.00338442   0.72    7.98509    7.98313    7.98251    7.98392    7.97781    8.00239  0.0374467    0.8   0.157613   0.168637   0.161108   0.167697   0.137822   0.177392  0.0202976   0.95    8.12353    8.22322    8.12597      8.106    8.04474     8.2059  0.0764302   0.98    2831.46    3077.96    2878.57    2960.75    2465.22    3148.03    334.252   0.97   0.221039    0.26846   0.221706   0.229557   0.158002   0.279584  0.0581453   0.99   3.10E+00
b_fr_06/NGC2516_1100                     0.017195  -0.041884   1.397374   0.0285567  0.0253272  0.0297628  0.0298545  0.0253728  0.0299958 0.00235863   0.62    8.02947    7.97512    7.99016     7.9823    7.97589    8.09683  0.0555855   0.74   0.114702   0.145322   0.116423  0.0899981  0.0880185   0.143757  0.0232115   0.94    8.15492    8.18824    8.17116      8.198    8.09736     8.2139  0.0582877   0.91    3077.62    2630.04    3155.22    3233.76    2619.64     3409.9     342.49   0.94   0.197144   0.159591   0.198501   0.212027   0.162916   0.233738  0.0359322   0.99   3.10E+00
b_fr_06/NGC2516_1200                     0.017195  -0.041884   1.397374   0.0169175  0.0162397  0.0125415  0.0125486  0.0120132  0.0272846 0.00633625   0.71    7.92802    8.02531    7.86922    7.83309    7.82682     8.0611   0.106275   0.76   0.170887  0.0991659   0.205442   0.219161   0.101894   0.224674  0.0551507    0.8    7.99909    7.87436    8.01463     8.0248     7.9311    8.06563  0.0720139   0.95     2714.9     2380.8    2719.95    2746.66    2431.26    2929.84    252.478   0.98   0.111983   0.125133   0.100285  0.0783574  0.0674187   0.151508  0.0506105   0.89   3.10E+00
b_fr_06/NGC2516_1300                     0.011166  -0.032031   1.664091   0.0292342  0.0293188  0.0293656  0.0294517  0.0291778  0.0295366 0.00113821    0.2     8.0275     8.0256    8.02619    8.02583    8.02534    8.02767  0.0120237   0.24  0.0731529  0.0716836  0.0718034  0.0719387  0.0686682   0.074906 0.00925918   0.46     8.0491    8.05457    8.04963    8.05035     8.0418    8.05603  0.0125835   0.66    3218.69     3233.8    3221.22    3230.53    3128.53    3297.68    115.046   0.91   0.164566   0.159989   0.160924   0.158154    0.15129   0.178911  0.0160737   0.91   3.10E+00
b_fr_06/NGC2516_1400                     0.010736  -0.036091   1.667796   0.0279048  0.0291703  0.0293114  0.0294642  0.0271973  0.0295081 0.00345351   0.49    8.03638    8.02596    8.02651    8.02577    8.02544     8.0314  0.0259406   0.54   0.107404   0.106011   0.106347   0.106011   0.102784   0.111469 0.00684815   0.79     8.0925    8.12533     8.1142    8.12041    8.07297    8.12581  0.0523486    0.7    3929.69    4049.88    4024.53    4074.82     3621.6    4169.84     287.12   0.91   0.180474   0.177587   0.176796   0.174683   0.163751   0.200423  0.0213495   0.95   3.10E+00
b_fr_06/NGC2516_1450                     0.010000  -0.030000   1.696985   0.0208226   0.018956  0.0189689  0.0186711  0.0182856  0.0286619  0.0040897    0.6    8.05865    8.05018    8.05008    8.04613    8.02804    8.10994  0.0371681   0.94   0.121408   0.127561   0.125884   0.126994   0.105269   0.130826  0.0125557   0.84    7.98335    7.96572    7.96759    7.95983    7.93843    8.06058  0.0513608    0.9    3479.89    3267.35    3409.47    3302.83    3034.04    4025.79    463.655   0.98   0.188492   0.213217   0.187239   0.181873   0.165065   0.212017  0.0234413   0.99   3.10E+00
b_fr_06/NGC2516_1500                     0.021972  -0.026214   1.824702   0.0241608  0.0289193  0.0243664  0.0243592  0.0241167  0.0287147 0.00350639   0.75    8.01503    8.07216    8.02652    8.02646    7.97984    8.07137   0.051644   0.91   0.114303  0.0961274  0.0998711  0.0959402  0.0932205   0.129057   0.029535   0.76    8.07299    8.04082    8.07786    8.08369    8.04506    8.09596  0.0256237   0.94    3971.22    3612.85    3881.32    3829.48    3686.49    4306.92    346.453   0.93   0.220436   0.127522   0.228765   0.257871   0.164004   0.272311  0.0496021   0.96   3.10E+00
b_fr_06/NGC2516_1600                     0.009795  -0.033293   1.838554   0.0254834  0.0273603  0.0244984  0.0243216  0.0242033  0.0273837 0.00152257   0.74    8.04804    7.97996     8.0695    8.09128    7.97998    8.10669   0.055285    0.8   0.128924   0.149985   0.125765   0.125174   0.108695   0.148995  0.0169334   0.96    8.07622    8.15101     8.0396    8.02749    8.01992    8.15801  0.0639847   0.84    4532.81    4651.33     4554.2    4574.17    4281.79    4710.04     244.34   0.96   0.198105   0.213951   0.195359   0.185483     0.1736   0.222825  0.0293126   0.95   3.10E+00
b_fr_06/NGC2516_1700                     0.016981  -0.035368   1.950937   0.0273528  0.0286465  0.0288168  0.0287914  0.0286211  0.0290175 0.00406973   0.42    8.01608    8.03301    8.03266    8.03296    8.02751     8.0335  0.0436144   0.42    0.15194   0.151392   0.150729   0.150378   0.144405   0.155437  0.0181321    0.8    8.18573    8.19371    8.19371    8.19545    8.17609    8.20101  0.0259603   0.75    5500.59    5374.44    5478.49    5459.89    5304.85    5695.37    222.005   0.98   0.261115   0.244873   0.259071   0.258051   0.231308   0.283804  0.0327718   0.98   3.10E+00
b_fr_06/NGC2516_1800                     0.023279  -0.026860   1.943485   0.0170622  0.0164583  0.0163251  0.0162203  0.0161267  0.0165551 0.00295124   0.48    7.90842    7.87455    7.87451    7.87454    7.87055    7.93347  0.0868825   0.49   0.153447   0.151204   0.156378   0.153028   0.150355   0.167465  0.0241681   0.73    8.08849    8.06241    8.07472    8.06492    8.05826    8.10319   0.041887   0.76    4841.57    4579.98    4639.93     4603.4     4565.5     4913.1    576.804   0.58   0.259827   0.207797   0.219386   0.211458    0.20813   0.324672   0.091022   0.63   3.10E+00
b_fr_07/NGC2516_1000                     0.021921  -0.041758   1.394968   0.0273083  0.0271453  0.0273511  0.0274484  0.0271727  0.0275222 0.000478782   0.29    8.06844    8.07009    8.07031    8.06985    8.06835    8.07321   0.011737   0.37   0.124208   0.129073    0.12432   0.125536   0.117621   0.130452 0.00692147   0.98    8.07097    8.07088    8.07003    8.06904    8.05646    8.08478  0.0181794   0.87     2657.9    2732.98    2704.22    2733.76    2420.76    2818.23     186.58   0.94  0.0948192  0.0872972  0.0924365  0.0908794  0.0798736   0.109159  0.0179442    0.9   3.10E+00
b_fr_07/NGC2516_1100                     0.017195  -0.041884   1.397374   0.0223826  0.0267736  0.0171991  0.0163792  0.0162818  0.0297874 0.00612868   0.73    8.00483    8.12994    7.98012    7.90409    7.89734    8.12633   0.104558   0.78   0.120939  0.0644585   0.137381     0.1523  0.0702035   0.156182   0.036147   0.89     8.0759    7.99055    8.08971    8.09421    8.00388    8.11003   0.048429   0.87    3049.46    2848.04    3074.64    3180.37    2815.89    3274.42    227.994   0.98   0.146138   0.137287   0.144979   0.143783   0.119144   0.174951  0.0268133   0.99   3.10E+00
b_fr_07/NGC2516_1200                     0.017195  -0.041884   1.397374   0.0209182  0.0162045  0.0165006  0.0163578  0.0162448  0.0288129 0.00589063   0.65    7.97607    7.92484    7.92469    7.92377    7.92335    8.03588  0.0733293   0.73   0.137557   0.161365    0.14672   0.153188   0.106233   0.158656  0.0236338    0.9    8.02214    7.98839    7.99184    7.97611    7.96451    8.10262  0.0631193   0.88    3264.82    3086.63    3131.58    3072.07    3005.38    3650.36    303.961    0.9   0.125986   0.112528   0.116932   0.114412  0.0916297   0.164327  0.0418157    0.9   3.10E+00
b_fr_07/NGC2516_1300                     0.011166  -0.032031   1.664091   0.0285637  0.0288054  0.0288459  0.0289271  0.0286641  0.0290174 0.00160664   0.24    7.98524    7.98393    7.98455    7.98444    7.98314    7.98602  0.0147857    0.3   0.102754  0.0996377   0.101221   0.101517  0.0922572   0.109636  0.0132111   0.77     8.1198    8.12924    8.12155    8.12264    8.10626    8.13503  0.0199593   0.84    3410.98     3243.0    3335.43     3193.1    3114.47    3750.09    293.205   0.95   0.172772   0.192244   0.172797   0.172421   0.150134   0.195149  0.0265527   0.98   3.10E+00
b_fr_07/NGC2516_1400                     0.010736  -0.036091   1.667796   0.0238563  0.0293815  0.0242119  0.0194164  0.0192983  0.0293724 0.00449973   0.76    7.97452    8.02595    7.99438    8.02007    7.92037    8.02599  0.0503862    0.8   0.125488  0.0728331   0.121357   0.165302  0.0731879   0.172648  0.0408049   0.86    8.08241    8.04637    8.08315    8.08556    8.04732    8.12094  0.0313049   0.96    3514.28    3533.59    3532.32    3546.36    3306.61     3677.9     180.95   0.98   0.158901   0.180182   0.159915   0.172966   0.131079   0.182978  0.0270146   0.98   3.10E+00
b_fr_07/NGC2516_1450                     0.010000  -0.030000   1.696985   0.0268336  0.0260379  0.0267179  0.0266763  0.0258059  0.0286732  0.0012869   0.78    8.04207     7.9244    8.03183    8.13468    7.92449    8.13371  0.0911656   0.84    0.11558   0.153948   0.107048   0.102854  0.0955405   0.147478  0.0243579   0.94    8.09086    8.19576    8.06508     8.0364    8.01483     8.1898  0.0724124   0.91    3924.24     4566.2    3867.34     3714.4    3593.91    4275.21    333.033   0.96   0.181507   0.220085   0.181114   0.179389   0.153361   0.209772  0.0276418   0.99   3.10E+00
b_fr_07/NGC2516_1500                     0.021972  -0.026214   1.824702   0.0293525  0.0294741  0.0293637  0.0294427  0.0291889  0.0295278 0.000397184  0.24    8.02935    8.03015    8.02916    8.02958    8.02589    8.03018 0.00884994   0.22  0.0945883  0.0993532  0.0977111  0.0983391  0.0819233   0.100521 0.00903133   0.74    8.07555    8.08277    8.07969    8.08219    8.05255    8.08992  0.0174252   0.92    4417.28    4371.59    4465.49    4495.05    4047.27    4654.85    250.719   0.92   0.171512   0.152449   0.171213   0.190258   0.147069   0.195416  0.0223049   0.96   3.10E+00
b_fr_07/NGC2516_1600                     0.009795  -0.033293   1.838554   0.0178669  0.0165734  0.0164494  0.0165219  0.0162312  0.0165888  0.0040229   0.41    7.91317    7.89703    7.89717    7.89312    7.88977    7.90861  0.0444568   0.53   0.184999   0.195654   0.194867    0.19593   0.189824   0.198848  0.0295153   0.51    8.08793    8.08205    8.08998    8.09241    8.07786    8.10011  0.0150454   0.93    4845.45    5149.93    4878.57    5059.08    4582.46    5148.23    314.796   0.94   0.189416   0.203554   0.190227   0.190614   0.169635   0.210041   0.020597   0.98   3.10E+00
b_fr_07/NGC2516_1700                     0.016981  -0.035368   1.950937   0.0271457  0.0289246  0.0289421  0.0292331  0.0210495  0.0298815  0.0046649   0.58    8.05939    8.17298    8.01095    8.16865    7.98121    8.17295   0.102425   0.83   0.134382   0.103151   0.137898   0.142424   0.096125   0.152075  0.0363094   0.87    8.14323    8.07146     8.1388    8.08412      8.074    8.21582  0.0597717   0.93    5360.33    4914.47    5242.82    5124.84    4945.07    5941.24    476.574   0.97   0.232375   0.226177   0.227253    0.21284   0.193332   0.276664  0.0386899   0.98   3.10E+00
b_fr_07/NGC2516_1800                     0.023279  -0.026860   1.943485    0.016606  0.0165088  0.0163875  0.0164458  0.0161991  0.0165682 0.000889805   0.45    7.87903    7.87466    7.87383    7.87433    7.87247    7.87484  0.0189476   0.35   0.160662   0.154504   0.159569   0.158027   0.154443   0.166099 0.00790626   0.88    8.08949    8.07399    8.08738    8.08172    8.07506    8.10516  0.0161752   0.94    4500.94    4378.98    4471.72     4432.5    4335.14     4679.2    200.957   0.95    0.19931   0.201252   0.202259   0.206551   0.177099   0.221722  0.0253905   0.92   3.10E+00
